site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
P048 07APR24 2007.3101 54214 1424 2 -111.2   -328 -0.183544   5057522  0.513122  1491  0.968252  0.0083 0.000477 0.000637 0.001822  0.022602  0.052186 -0.102968
P048 07APR25 2007.3128 54215 1424 3 -111.2   -328 -0.184032   5057522  0.513748  1491  0.971145  0.0083 0.000478 0.000638 0.001805  0.029588  0.021921 -0.108200
P048 07APR26 2007.3155 54216 1424 4 -111.2   -328 -0.186034   5057522  0.514436  1491  0.965959  0.0083 0.000465 0.000629 0.001739  0.044503  0.026550 -0.098258
P048 07APR27 2007.3183 54217 1424 5 -111.2   -328 -0.182663   5057522  0.514527  1491  0.977995  0.0083 0.000465 0.000632 0.001751  0.024184  0.038251 -0.111219
P048 07APR28 2007.3210 54218 1424 6 -111.2   -328 -0.185833   5057522  0.514358  1491  0.979437  0.0083 0.000466 0.000631 0.001746  0.029471  0.043682 -0.095820
P048 07APR29 2007.3238 54219 1425 0 -111.2   -328 -0.186069   5057522  0.513921  1491  0.975216  0.0083 0.000466 0.000630 0.001747  0.036468  0.019068 -0.100088
P048 07APR30 2007.3265 54220 1425 1 -111.2   -328 -0.185690   5057522  0.512623  1491  0.970789  0.0083 0.000468 0.000632 0.001752  0.025417  0.016020 -0.093332
P048 07MAY01 2007.3292 54221 1425 2 -111.2   -328 -0.184307   5057522  0.513554  1491  0.972037  0.0083 0.000465 0.000632 0.001743  0.048931  0.011582 -0.111299
P048 07MAY02 2007.3320 54222 1425 3 -111.2   -328 -0.186067   5057522  0.513607  1491  0.975471  0.0083 0.000473 0.000646 0.001793  0.053780  0.007145 -0.102471
P048 07MAY03 2007.3347 54223 1425 4 -111.2   -328 -0.185836   5057522  0.516575  1491  0.970599  0.0083 0.000467 0.000640 0.001757  0.065348  0.009579 -0.096678
P048 07MAY04 2007.3374 54224 1425 5 -111.2   -328 -0.184524   5057522  0.516385  1491  0.965014  0.0083 0.000464 0.000629 0.001736  0.031062  0.024475 -0.113082
P048 07MAY05 2007.3402 54225 1425 6 -111.2   -328 -0.185974   5057522  0.513808  1491  0.968348  0.0083 0.000464 0.000629 0.001749  0.034285  0.003570 -0.089759
P048 07MAY06 2007.3429 54226 1426 0 -111.2   -328 -0.184504   5057522  0.514151  1491  0.969455  0.0083 0.000463 0.000634 0.001743  0.024920  0.029846 -0.126062
P048 07MAY07 2007.3457 54227 1426 1 -111.2   -328 -0.187022   5057522  0.513692  1491  0.968358  0.0083 0.000464 0.000635 0.001745  0.036358  0.018028 -0.122100
P048 07MAY08 2007.3484 54228 1426 2 -111.2   -328 -0.186131   5057522  0.514129  1491  0.970431  0.0083 0.000463 0.000629 0.001743  0.050459  0.016406 -0.085785
P048 07MAY09 2007.3511 54229 1426 3 -111.2   -328 -0.183937   5057522  0.514290  1491  0.972337  0.0083 0.000464 0.000630 0.001746  0.038072  0.030108 -0.112659
